describe,evaluate,movie_name,movie_text,serial,star
愿我们都不用长大，每一座城堡都能永远存在。,280855人评价,头脑特工队,2015/美国/喜剧动画冒险,173,8.7
热血沸腾，那个低俗、性感的无耻混蛋又来了。,302818人评价,被解救的姜戈,2012/美国/剧情动作西部冒险,174,8.6
好的剧本是，就算你猜到了结局也猜不到全部。,120200人评价,未麻的部屋,1997/日本/动画奇幻惊悚,175,8.9
人生的N种可能性。,150295人评价,罗生门,1950/日本/犯罪剧情悬疑,176,8.7
世界离独裁只有五天。,153484人评价,浪潮,2008/德国/剧情惊悚,177,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,597263人评价,你的名字。,2016/日本/剧情爱情动画,178,8.4
一个单凭体香达到高潮的男人。,318631人评价,香水,2006/德国法国西班牙美国/剧情犯罪奇幻,179,8.4
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,306799人评价,朗读者,2008/美国德国/剧情爱情,180,8.5
王家卫是一种风格，张国荣是一个代表。,248419人评价,阿飞正传,1990/香港/犯罪剧情爱情,181,8.5
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,190634人评价,房间,2015/爱尔兰加拿大英国美国/剧情家庭,182,8.8
不要企图在重复中寻找已经失去的爱。,386681人评价,恐怖游轮,2009/英国澳大利亚/剧情悬疑惊悚,183,8.4
坚硬的信仰。,150697人评价,可可西里,2004/中国大陆香港/剧情犯罪,184,8.7
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,303519人评价,模仿游戏,2014/英国美国/剧情传记战争同性,185,8.6
迪士尼和皮克斯拿错剧本的产物。,239306人评价,无敌破坏王,2012/美国/喜剧动画奇幻冒险,186,8.7
惠及一生的美丽。,154931人评价,一个叫欧维的男人决定去死,2015/瑞典/剧情,187,8.8
养狗三日，便会对你终其一生。,76282人评价,忠犬八公物语,1987/日本/剧情,188,9.1
只有有信仰的人才能说出事实真相。,151144人评价,一次别离,2011/伊朗法国/剧情家庭,189,8.7
做一颗让别人需要你的棋子。,197805人评价,战争之王,2005/美国法国/剧情犯罪,190,8.6
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,231001人评价,魔女宅急便,1989/日本/动画奇幻冒险,191,8.5
诺兰的牛逼来源于内心散发出的恐惧。,94452人评价,追随,1998/英国/犯罪悬疑惊悚,192,8.9
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,225160人评价,谍影重重,2002/美国德国捷克/动作悬疑惊悚,193,8.5
来啊，互相伤害啊！,254976人评价,完美陌生人,2016/意大利/剧情喜剧,194,8.6
天使与魔鬼的冲撞。,196896人评价,撞车,2004/美国德国/犯罪剧情,195,8.6
想你时你在闹海。,99313人评价,哪吒闹海,1979/中国大陆/冒险动画奇幻,196,8.9
弱者送给弱者的一刀。,126739人评价,牯岭街少年杀人事件,1991/台湾/剧情犯罪,197,8.8
天使保护事件始末。,100666人评价,地球上的星星,2007/印度/剧情儿童家庭,198,8.9
谁说王家卫镜头很晃？,187396人评价,谍影重重2,2004/美国德国/动作悬疑惊悚,199,8.6
故事的反转与反转，分裂电影的始祖。,100567人评价,惊魂记,1960/美国/悬疑惊悚恐怖,200,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,262465人评价,青蛇,1993/香港/剧情奇幻古装,201,8.5
一场没有春天的噩梦。,128235人评价,梦之安魂曲,2000/美国/剧情,202,8.7
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,186050人评价,黑客帝国3：矩阵革命,2003/美国澳大利亚/动作科幻,203,8.6
宝莱坞的萝莉与大叔。,209947人评价,小萝莉的猴神大叔,2015/印度/剧情喜剧动作,204,8.5
爱我就给我看你的播放列表。,206209人评价,再次出发之纽约遇见你,2013/美国/喜剧爱情音乐,205,8.5
是枝裕和的家庭习作。,169571人评价,海街日记,2015/日本/剧情家庭,206,8.7
嬉笑怒骂，调风动月。,219078人评价,新龙门客栈,1992/香港中国大陆/剧情动作武侠古装,207,8.5
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,108205人评价,步履不停,2008/日本/剧情家庭,208,8.8
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,61351人评价,东京物语,1953/日本/剧情家庭,209,9.2
少见的超越首部的续集，动作片中的经典。,165516人评价,终结者2：审判日,1991/美国法国/动作科幻,210,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,461015人评价,源代码,2011/美国加拿大/科幻悬疑惊悚,211,8.4
黑小鸭速效美白记。,537692人评价,初恋这件小事,2010/泰国/剧情喜剧爱情,212,8.3
天使暂时离开。,124382人评价,绿里奇迹,1999/美国/犯罪剧情奇幻悬疑,213,8.7
